instruction,input,output
"As a pharmacist, what do I need to do with a prescription containing controlled substances and psychoactive medications?","AMLADA (37) 
1.   على مدير الصيدلية االحتفاظ بالوصفات الطبية املحتوية على املواد املخدرة واملؤثرات العقلية مبينًا 
علي ا تاريخ الصرك ورقم قيداا بالسجل.
2. .يحظر تكرار صrk الوصفات الطبية للمواد املخدرة
3.   تحدد بقرار من وزير الصحة ووقاية املجتمع املؤثرات العقلية الل  يجوز تكرar صرفها بوصفة طبية واحدة
وعدد مرات التكرار لكل م  ا.","As a pharmacist, I need to keep the prescription containing controlled substances and psychoactive medications in a manner that shows the date and serial number of the record. Additionally, I should not repeat dispensing prescriptions for controlled substances (Article 2). However, if the Minister of Health and Community Welfare specifies otherwise, I may be allowed to dispense such medications with a single medical prescription and a limited number of times (Article 3, Section 3)."
What does the pharmacy manager need to do after January 1st or July 1st of each year?,"""املادة (38) على مدير الصيدلية أن يرسل إإى الجهة اإلدارية املختصة خالل الخمسة عشر يومًا األوإى من شهري يناير ويوليو من ل سنة كتابًا مسجالً يتضمن بيانًا تفصيلي موقعًا عليه منه بالوارد واملصروك واملتبق من الملواد الاملخدرة واملؤثرات العقلية حلى ن اية الستة أشهر السابقة.  

13 مرسوم بقانون اتحادي في شأن مكافحة الملواد الاملخدرة وAMLؤثرات العقلية""","As a pharmacy manager, I need to send a documented report to the relevant authorities within 15 days after January 1st or July 1st of each year, which includes a detailed statement about the controlled substances and psychoactive substances that I have in stock as of six months prior. (Article 38)"
"As the manager of a pharmacy, I need to store controlled substances and psychoactive medications securely.",املادة (39) يجب على مدير الصيدلية حفظ املواد املخدرة وamlؤثرات العقلية داخل خزانة محكمة اإلاالق بالصيدلية وتكون اذه املواد في عهدته。,"As the manager of a pharmacy, I must ensure that controlled substances and psychoactive medications are stored securely in a locked cabinet within the pharmacy premises. According to Law Article (39)."
,,
"A person was caught using a controlled substance (specifically, cocaine) without a prescription. They were arrested and charged with violating Article 41 of the UAE Federal Law.","AMLADA (41) 
1.   يعاقب بالحبس مدة ال تقل عن ثالثة أشهر أو بالغرامة الل  ال تقل عن عشرين ألف درام وال تزيد على مائة ألف درام  ل من: 
أ. تعاطى بأي وجه أو استعمل شخصي ا في اير األحوال املرخص ب ا أو تعاطى بجرعات أكثر مما او محدد بالوصفة الطبية، أية مادة من املواد املخدرة واملؤثر ات العقلية املنصوص علي ا في الجداول أرقام ( 1 )،(2( )،5( ) عدا البند29) من الجدول رقم ( 1.) 
b. تعاطى بأي وجه أو استعمل شخصي ا في اير األحوال املرخص ب ا نباتًا من النباتات الواردة في  الجدول رقم (4( )، عدا البند8 ) من القسم ال ان  من الجدول رقم ( 4.)","According to Article 1 of AMLADA (41), the person should be punished with imprisonment for a period not exceeding three months or a fine not less than 20,000 Dirhams and not exceeding 100,000 Dirhams. As I am not familiar with the specific circumstances of this case, my recommendation is to consult with a legal expert to determine the appropriate course of action."
What would happen if someone was caught using or possessing a controlled substance for personal use?,"املادة (42) 
1. يُعاقب بالحبس مدة ال تقل عن ثالثة أشهر أو بالغرامة الل  ال تقل عن عشرة الك درام وال تزيد على مائة ألف درام ل من تعاطى بأي وجه أو استعمل شخصي ا في اير األحвал المرخص ب ا القانون أملواد المخدرة المنصوص علي ا بالبند (29) من الجدول رقم ( 1) أو أي من النباتات المنصوص علي ا بالبند 8 من القسم ال ان من الجدول رقم ( 4.) 
2. إذا ارتكب الجان أي من الأعمال المنصوص علي ا بالبند السابق للمرة الأولى خالل مدة التي تجاوز ثالث سنوات من تاريخ ارتكاب الفعل أول مرة، انت العقوبة الحبس مدة ال تقل عن ستة أشهر أو الغرامة الل  ال تقل عن عشرين ألف درام وال تزيد على مائة ألف درام. 
3. إذا ارتكب الجان أي من الأعمال المنصوص علي ا بالبند رقم ( 1) من هذه المادة للمرة الثانية أو أكثر، انت العقوبة الحبس مدة ال تقل عن ستة أشهر أو الغرامة الل  ال تقل عن خمسين ألف درام وال تزيد على مائة ألف درام.","According to Ammara (42), if someone is caught using or possessing a controlled substance for personal use, they would be punished with imprisonment not exceeding three months or a fine not less than ten thousand and not exceeding one hundred thousand. This is stated in Article 1 of the law. (Article 42/1)"
,,
What is the penalty for someone who has used a controlled substance with the intent to induce intoxication or impairment of the mind?,"""املادة (44) 1. يعاقب بالحبس مدة ال تزيد على ستة أشهر أو الغرامة الل  ال تقل عن عشرين ألف درام وال تزيد على مائة ألف درام ل من تعاطى بأي وجه أو استعمل شخصي ا أو حاز أو أحرز بقصد التعاط أية مادة أو نبات من اير املواد املخدرة أو املؤثرات العقلية المنصوص علي ا في الجداول المرفقة ب ذا الملرسوم بقانون، يكون من شأن الإحداث التخدير أو أي أثر خر ضار بالعقل ملى ان التعاط أو الاستعمال الخخ ن بقصد إحداث التخدير أو الإضرار بالعقل. 2. فإذا ارتكب الجاني الجريمة المنصوص علي ا في البند السابق للمرة الأولى خالل مدة التي تجاوز الثالث سنوات انت العقوبة الحبس مدة ال تزيد على سنة أو الغرامة الل  ال تقل عن ثلاثين ألف درام وال تزيد على مائة ألف درام. 3. إذا ارتكب الجاني أي من الأعمال المنصوص علي ا في البند رقم 1 من الذات المادة للمرة الثانية أو أكثر، انت العقوبة الحبس مدة ال تقل عن سنة وال تزيد على سنتين والغرامة الل  ال تقل عن مائل ألف درام.""","The penalty for someone who has used a controlled substance with the intent to induce intoxication or impairment of the mind is imprisonment for not exceeding six months, or a fine not less than twenty thousand dinars and not exceeding one hundred thousand dinars (Article 44, section 1)."
"What would happen if someone was caught for the second time, after serving 2 years of their previous sentence?","املادة (45) يجز للمحكمة- في اير حالة العود- بدالً من الحكم بالعقوبات املنصوص علي ا باملواد (41( ),42( ),43( ),44 )
( أن تستبدل العقوبة بإيداع املحكوم عليه في إحدى وحدات عالج وتأايل املدمنين املنصوص علي ا في املادة5 )
من اذا املرسوم بقانون، بعد أخذ رأي اللجنة املشرفة علي ا، على أن تقدم اللجنة إإى امlechoma تقريرًا عن حالته 
خالل ستة أشهر أو  لما طلب م  ا ذلك.
وال يجوز أن يودع بالوحدة من سبق الاألمر بإيداعه في ا تنفيذًا لحكم سابق أو لم يمض على خروجه م  ا أكثر من ثالث سنوات.","As per Law Article 45, since this is the second-time offender and they have already served 2 years of their previous sentence (more than three years), the court can replace the new punishment with imprisonment in a treatment unit as specified in Law Article 5. The committee's report will be presented to the court within six months."
,,
,,
,,
A person committed an intentional crime that caused harm to another person before they had a motive to do so. The victim suffered severe injuries as a result. What would be the appropriate punishment?,"AMLADA (49) 
 إذا ارتكب الجان  أي ا من الجرائم املشار إلي افي املادة 48 ) من اذا املرسوم بقانون بقصد إلحاق الضرر بمن 
 أرتكب الجريمة قبله، وترتب على ذلك إلحاق إصابة أو مرو به، عوقب الجان  بالسجن مدة ال تقل عن سبع 
 سنة والغرامة الل  ال تقل عن مائة ألف درام. 
 فإذا ترتب على اإلصابة أو املرو ضررًا جسيمًا،  انت العقوبة السجن مدة ال تقل عن عشر سنوات والغرامة 
 الل  ال تقل عن مائل  ألف درام. 
 وتكون العقوبة السجن املؤبد أو اإلعدام إذا ترتب على الجريمة موت املجن  عليه.","According to Article 49 of the law, since the crime was committed with the intention of causing harm before the motive existed, and the victim suffered severe injuries as a result, the appropriate punishment would be imprisonment for a term not exceeding ten years and a fine not exceeding one million drams. (AMLADA 49)"
A person was caught selling drugs to someone without their knowledge or consent. The drugs were listed in one of the schedules attached to the decree-law. What is the maximum punishment?,"AMLADA (50) 
يعاقب بالسجن مدة لا تزيد عن خمس سنوات وبغرامة لا تقل عن عشرة ألف دراهم لمن دس أي من الأماcluads أو الأماdrugs أو الأماethrals العقلية المنصوص عليهم في أي من الجداول المدرجة بذا المرسوم بقانون في شراب أو طعام للغير، أو جعله يتعاطوا بدون علم منه بحقيقةه.","According to Article 50 of the decree-law, the maximum punishment is imprisonment for a duration not exceeding five years and a fine not less than twenty thousand dinars. (AMLADA 50)"
A person forces someone to take drugs and it leads to the victim's death. What is the punishment?,"AMLADA (51) .يعاقب بالسجن مدة لا تقل عن عشر سنوات ل من أكره إيره على تعاط الملواد أو المؤثرات العقلية  وتكون العقوبة السجن الملءد أو الإلعدام إذا ترتب على فعل الإكراه موت المجن عليه.

18 
مرسوم بقانون اتحادي في شأن مكافحة الملواد والمؤثرات العقلية","According to Article 51 of the law, the punishment is death or life imprisonment. (AMLADA 51)"
What would happen if someone intentionally transfers controlled substances or psychoactive substances listed in the attached tables without the owner's knowledge or consent?,AMLADA (52) يُعاقب بالسجن ل من تعمد نقل ملواد مخدرة أو مؤثرات العقلية المنصوص علي في الجداول المرفقة ب ذا المرسوم بقانون إإى حيازة أو حرز الغير بدون علمه بحقيقت ا.,"As per AMLADA (52), the person would be punished with imprisonment for intentionally transferring controlled substances or psychoactive substances listed in the attached tables without the owner's knowledge or consent. The law article explicitly states that such an act is considered a crime and punishable by imprisonment."
,,
,,
,,
A person named John was caught with a large quantity of prohibited plants. He claims he was authorized to possess them for research purposes. Is he guilty and what is the punishment?,"املادة (56) في اير األحوال املرخص ب ا وفق أحكام اذا املرسوم بقانون، يعاقب بالسجن  ل من حاز أو أحرز بقصد االتجار أو التروي  أي مادة أو نبات من املواد الل  يسري في شأن ا حكم الفقرة ال انية من املادة 12 ) من اذا املرسوم بقانون.
فإذا وقعت الجريمة ممن رخص له بحيازة أو إحراز املواد املشار إلي ا في الفقرة السابقة من اذه املادة وخالف الغرو المرخص له به، عد ذلك ظرفًا مشددًا.","Based on Article 56, since the plants are prohibited and John was caught with a large quantity, he is guilty. However, since he claims to have been authorized for research purposes, we need to examine if his authorization was legitimate. If it was not, or if he exceeded the scope of his permission, that would be considered an aggravating circumstance (Article 56). In this case, I would recommend punishing John with a sentence."
"What would be the punishment for someone who intentionally committed a crime with the intention of profiting from it, and they are a member of an organized gang?","AMLADA (57) (يعاقب على مخالفة حكم البند1) من AMLADA 10( ), وAMLADA14 ) من إذا أمرسوم بقانون بالعقوبات الأملنصوص علي في الجدول رقم ( 10) . أميررفق ب ذا أملرسوم بقانون وتكون العقوبة الإعدام إذا ارتكبت الجريمة بقصد الاتجار أو التروي  أو  أن الجان منتميًا لجماعة معادية أو عصابة منظمة أو يعمل ملصلحت ا.","According to AMLADA (57), the punishment would be execution (الإعدام) because the crime was committed with the intention of profiting from it, which is mentioned in Article 10 of the penal code. The fact that the perpetrator is a member of an organized gang (جماعة معادية أو عصابة منظمة) also increases the severity of the punishment."
,,
"What would be the punishment for someone who intentionally violates their license to possess and use a controlled substance, having previously been convicted of such an offense?","AMLADA (59) ل من رخص له في حيازة و حراز مادة من املواد املذ ورة في الجداول املرفقة ب ذا المرسوم بقانون وخالف الغرو المرخص له به، يعاقب بالسجن مدة لا تقل عن خمس سنوات والغرامة الل لا تقل عن مائة ألف درام.
20 مرسوم بقانون اتحادي في شأن مكافحة املواد املخدرة واملؤثرات العقلية 
fإذا وقعت الجريمة بقصد الالتجار أو الترو ي انت العقوبة السجن الموقبد والغرامة الل لا تقل عن مائة ألف درام وال تزيد على مائل ألف درام وفي حالة العود تكون العقوبة الإعدام.","The person would be punished with imprisonment for a term of at least five years and a fine not less than one hundred thousand Dirhams (Article 59). Since they have previously been convicted, the punishment would be increased to life imprisonment and a fine not less than one hundred thousand Dirhams nor exceeding one million Dirhams (Article 20)."
A person was caught violating a traffic rule and is facing fines and imprisonment. What are the possible punishments?,"AMLADA (60) : مع عدم الإخالل بأية عقوبة أشد ينص عليها إذا أمرسوم بقانون أو أي قانونخر
1. يعاقب بالحبس مدة لا تزيد على سنة والغرامة التي لا تقل عن خمسين ألف درام ولا تزيد على مليون ألف درام أو بإحدى الأوتين العقوبتين ل من خالف أي حكم من أحكام الموالد (13،15،25)،(33،34،35،37) بند2،(39،40.) فقرة أوإى
2. ويعاقب بالغرامة التي لا تقل عن خمسين ألف درام ولا تزيد على مليون ألف درام ل من خalf أي حكم من أحكام الموالد (21،26،28،36،37) بند1،(38،40.) فقرة ثانية
3. و ذا قصد الجان من مخالفة أي حكم من الأحكام المدرجة إليه في البندين السابقين ارتكاب جريمة أخرى من الجرائم المنصوص عليها إذا أمرسوم بقانون أو إخفاءاا عوقب بعقوبة الجريمة الأشد.","As you, I would say that the possible punishments are either imprisonment not exceeding one year and a fine not less than 50,000 drams nor more than one million drams (AMLADA 60/1) or just a fine not less than 50,000 drams nor more than one million drams (AMLADA 60/2). If the person had the intention to commit another crime while violating the rule, they would be punished with the punishment for that crime. (AMLADA 60/3)"
,,
"A public employee, while performing their duties, kills someone intentionally. Does the perpetrator deserve death penalty?",املادة (62) يعاقب باإلعدام  ل من قتل عمدًا أحد املوظفين العموميين القائمين على تنفيذ اذا املرسوم بقانون في أثناء تأدية وظيفته أو بسبب الإضرار,"According to Article 62, yes, the perpetrator deserves death penalty. The law states that whoever intentionally kills a public employee who is executing their duties or as a result of committing an offense shall be punished by capital punishment."
"A person takes a sample without permission from the public prosecutor, claiming it contains drugs or psychoactive substances. What are the possible consequences?",املادة (63) يعاقب بالحبس مدة ال تقل عن سنتين وبالغرامة الل  ال تقل عن مائة ألف درام  ل من صدر بحقه إذن من النيابة العامة بأخذ عينة الفحص الالزم إلثبات احتوائ ا على مواد مخدرة أو مؤثرات عقلية من عدمه وامتنع دون مبرر عن إعطائه.,"As per Article 63, the person will be punished with imprisonment for a period not exceeding two years and with fines not less than one hundred thousand drams if they took the sample without permission from the public prosecutor, claiming it contains drugs or psychoactive substances, and refused to provide it without a valid reason. (Article 63)"
"A person named John has been arrested for possessing illegal drugs worth 20,000 Drams. He claims that he found them on the street and was planning to turn them into the authorities. Is he guilty of the crime?",املادة (64) مع عدم اإلخالل بأي عقوبة أشد ينص علي ا أي قانون  خر، يعاقب بالحبس أو الغرامة الل  ال تقل عن خمسين ألف درام ل من أودع أو حول أمواالً بنفسه أو بواسطة الغير أو قبل تحويلها إليه بقصد ارتكاب أي من جرائم التعاط أو الاستعمال الخخ ن للمواد المخدرة أو المؤثرات العقلية المنصوص علي ا في اذا ألمرسوم بقانون.,"Based on Article 64, John is guilty of the crime. The law states that anyone who possesses or acquires illegal drugs or psychoactive substances with intent to commit a crime shall be punished by imprisonment for not less than 50,000 Drams (Article 64). Since John was found possessing illegal drugs worth 20,000 Drams and claimed he was planning to turn them into the authorities, his actions meet the criteria of this law. Article 64 is relevant in this case, and therefore, John should be punished accordingly."
"A person has been accused of stealing a valuable item worth over 100,000 drams. The accused claims they found the item on the street. How would you determine if the accusation is true or not?",املادة (65) يعاقب بالسجن والغرامة الل  ال تقل عن مائة ألف درام  ل من حاز أو أخفى أو أجرى أي عملية ألمyal، ملى انت اناك دالئل أو قرائن افية بأن قد تحصلت نتيجة ارتكاب أي من الجرائم المنصوص علي ا في اذا المرسوم بقانون.,"As the investigator, I would determine if the accusation is true or not by gathering evidence and interviewing witnesses. If the accused can provide sufficient evidence to prove that they found the item on the street, such as eyewitness testimony from a reliable source or physical proof like security footage showing them picking up the item, then it's possible that the accusation is false (Article 65 of the law). In this case, I would not find the accused guilty and would consider alternative explanations for the missing item."
,,
"What is the appropriate punishment for someone who commits a crime related to drug use and possession, according to Article 67 of the United Arab Emirates' Federal Law No. 22 of 1972?","املادة (67) فيما عدا العقوبات املقررة لجرائم التعاط  واالستعمال الخخ ن عند ارتكاب ا في املرتين األوإى وال انية واملنصوص علي ا في املواد (41( ),42),(43( ),44 )، وكذلك في الجرائم املعاقب علي ا بالغرامة فقط، أو تلك املعاقب علي ا بالحبس أو الغرامة، ال يجوز النزول بالعقوبة الل يحكم ب تطبيقًا لهذا املرسوم بقانون.","According to Article 67, the appropriate punishment for someone who commits a crime related to drug use and possession would be the penalty specified in Articles 41-44. The court cannot apply any other punishment unless it is explicitly stated by law (Article 67)."
What can be inferred about the rights of those affected by a decree law that establishes penalties?,AMLADA (68) لا يخل توقيع العقوبات اللبينة في اذا أمروسوم بقانون بما يترتب ألصحاب الشأن من الحق في الدية أو التعويض طبقًا أحكام القانون.,"According to Article 68 of the Law, those affected by a decree law that establishes penalties have the right to compensation or blood money (dīyah) as per the provisions of the law. This means that if a decree law sets out penalties for certain actions, those who are impacted by these penalties have the legal right to seek compensation or payment."
What are the possible outcomes if someone prevents the authorities from knowing about a crime beforehand?,"""املادة (69) 
( يعفى من العقوبات املقررة للجرائم املبينة في املواد 53( ),57( ),58 ) ل من بادر من الجناة إإى إبالغ السلطات
القضائية أو اإلدارية بما يعلمه عا قبل البدء في ارتكاب الجريمة.
 ويجوز للمحكمة اإلعفاء من العقوبة إذا حصل االبالغ بعد ارتكاب الجريمة وقبل البدء في التحقيق، كما يجوز 
lلمحكمة تخفيف العقوبة إذا سهل الجان للسلطات المخْطة في أثناء التحقيق أو المحاكمة القبض على أحد مِرْتكب الجريمة.
 الفصل الثاني
العقوبات التبعية والتكميلية""","According to Article 69, if someone prevents the authorities from knowing about a crime beforehand (amelāda), they may be exempted from the prescribed penalties for crimes specified in Articles 53, 57, and 58. Additionally, if the perpetrator informs the authorities after committing the crime but before the investigation begins, the court may acquit them of the penalty. Alternatively, the court may mitigate the punishment if the perpetrator cooperates with the relevant authorities during the investigation or trial."
A police officer found a small quantity of illegal drugs and several electronic devices at a suspect's residence. The suspect was arrested for drug trafficking. What can the police do with the seized items?,"املادة (70) تحكم بمصادرة املواد املخدرة وamlؤثرات العقلية والنباتات الل تنت ملواد مخدرة أو مؤثرات عقلية الل تكون محال لجريمة من الجرائم الم عقب علي بموجب اذا املرسوم بقانون.
كما يحكم بمصادرة الأجهزة والادوات والآلات والشياء والموال والمدات الضبوطة ووسائل النقل الل تكون قد استخدمت في ارتكاب الجريمة، وذلك دون الإخالل بحقوق الغير حسن النية.","As a police officer, I can seize the illegal drugs and electronic devices found at the suspect's residence, as per Article 70 of the law. The seized items can be used as evidence in court to prosecute the suspect for drug trafficking. According to the law, the seized items do not belong to innocent third parties, so their rights will not be affected."
What are the rules for issuing an arrest warrant for drug-related offenses?,"AMLADA (71) يحكم بإاالق ل مكان أعد لتعاط املواد املخدرة أو املؤثرات العقلية أو ملباشرة أي نشاط متعلق ب ا في اير आलحوال امرخص ب ا وفقًا ألحكام اذا المرسوم بقانون، ويكون الحكم بالإلاالق جوازي فما عدا ذلك.
وفي جميع आलحوال للنيابة العامة أن تصدر قرارًا بفتح ملكان إذا أعد لغرو مشروع.
ويجوز للمحكمة أن تأمر بنشر ملخص الحكم بالوسيلة المناسبة وعلى نفقة الملاحقه.","To issue an arrest warrant for drug-related offenses, the rules are as follows: according to Article 71 of the AMLADA law (AMLADA - Anti-Money Laundering and Terrorist Financing Law), a court may issue an arrest warrant if there is reasonable suspicion that a person has committed or is committing a crime related to drugs, psychotropic substances, or other controlled substances. The prosecutor's office must issue a decision to open the case if there is sufficient evidence. (Article 71 of AMLADA)"
A person is found guilty of repeated drug use or psychological impairment and is sentenced to imprisonment. The court also revokes their driver's license. How long will they be disqualified from driving?,املادة (72) يترتب على الحكم في جريمة تعاط املواد املخدرة أو املؤثرات العقلية أكثر من مرة عدم الترخيص للمحكوم عليه بقيادة املركبات اآللية أو إلغاء الترخيص في حالة صدوره.,"According to Article 72, the person will be disqualified from driving for 1 year after the date of execution of the punishment."
What would happen if someone was sentenced to imprisonment for a crime that requires police supervision after completing their sentence?,املادة (73) من حكم عليه بالسجن املؤبد أو املؤقت في إحدى الجرائم املنصوص علي ا في اذا املرسوم بقانون يوضع تحت مراقبة الشرطة بعد انقضاء مدة عقوبته وفقًا للقواعد الل  يحدداا وزير الداخلية مدة مساوية ملدة العقوبة على أال تزيد على خمس سنوات. ومع ذلك يجوز للمحكمة في حكمها أن تخفف مديدة املراقبة أو أن تأمر بإعفاء املحكوم عليه م  ا أو أن تخفف قيوداا.,"According to Law Article (73), if someone is sentenced to imprisonment for a crime that requires police supervision after completing their sentence, the Ministry of Interior will set a period of supervision equivalent to the original sentence duration, not exceeding five years. However, the court may reduce this period or exempt the individual from supervision or reduce restrictions. If the individual violates these conditions, they will be punished with imprisonment for up to one year and/or fine not exceeding KD 500 (Article 73)."
"A person has been convicted of a crime and sentenced to imprisonment. While serving their sentence, they try to transfer some money to someone else. Is this allowed?",املادة (74) ل من أدين بأي من الجرائم املعاقب علي ا وفق أحكام اذا املرسوم بقانون يمنع من تحويل أو إيداع أية أموال للغير بذاته أو بواسطة الغير، إال بناءً على إذن يصدر من مصرك اإلمارات املركزي بالتنسيق مع وزارة الداخلية ويستمر اذا املنع ملدة سنتين بعد انت اء تنفيذ العقوبة.,"According to Article 74, a person who has been convicted of any crime and sentenced cannot transfer or deposit any money to someone else without their own consent or through the consent of others, except with permission issued by the competent authorities in coordination with the Ministry of Interior. This rule applies even after the sentence is served for a period of two years (Article 74)."
,,
"A person was previously convicted for multiple times of the same crime. Now, they are facing another charge. What can the court do?",AMLADA (76) ل من سبق الحكم عليه أكثر من مرة في إحدى الجرائم املنصوص علي ا في اذا املرسوم بقانون يجوز للمحكمة أن تحكم عليه باإلضافة إإى العقوبة املقررة بأحد التدابير اآلتية:,"According to AMLADA (76), the court can impose additional measures on the person. Specifically, it can: 1) determine the place of residence; 2) prohibit residence in a specific place; 3) order the person to reside in a certain location; 4) prohibit visiting certain places or establishments; 5) deprive them of practicing a profession or skill; or 6) impose one of the measures provided by law when convicting for crimes related to drug abuse or addiction."
"What would happen if someone extended a government-issued permit for more than five years, but less than six years?",املادة (77) .ال يجوز أن تقل مدة التدبير املحكوم به عن سنة وال تزيد على خمس سنوات  ويعاقب بالحبس مدة ال تقل عن ثالثة أشهر وال تزيد على سنة  ل من خالف أحكام أي من التدابير املنصوص علي ا باملادة السابقة.,"According to Article (77), if someone extends a government-issued permit for more than five years, but less than six years, they would be punished with imprisonment for a period that is not less than three months and not exceeding one year. (AMLADA 77)"
"As the Chief Public Prosecutor, what order can I give to compel the issuance of an order?",املادة (78) للنائب العام أن يأمر بإلزام الصادر بحقه أمرًاجزائي ا في إحدى جرائم التعاط  أو االستعمال الخخ ن  بالتدبير  املنصوص عليه في البند (6( ) من املادة76 .) من اذا املرسوم بقانون,"As the Chief Public Prosecutor, I can give an order to compel the issuance of a decree according to Article 78, which states that 'the Public Prosecutor shall order the issuance of a decree in any of the crimes of trafficking or abuse... as per Article 6 of Law 76 if the law is enacted.' (Article 78)"
,,
,,
What should happen to drugs and psychotropic substances seized by authorities?,AMLADA (81) تُعدم املواد املخدرة واملؤثرات العقلية املحكوم بمصادر  ا من قبل لجنة تشكل بقرار من النائب العام برئاسة أحد أعضاء النيابة العامة، على أن يحرر محضرًا بما تم من إجراءات يعتمده رئيس اللجنة. ويجوز للنайте العام أن يأذن بتسليم تلك املواد املقرر مصادر  ا إإى أية جهة حكومية لالنتفاع ب ا في األاراو العلمية أو الطبية أو إيراا. وللمحكمة المختصة أثناء نظر الدعوى وبناءً على طلب من النيابة العامة أن تقرر إعدام املواد املخدرة واملؤثرات العقلية محل الجريمة أو الإذن بتسليمها إإى أية جهة حكومية لالنتفاع ب ا في األاراو العلمية أو الطبية أو إيراا، على أن يحتفظ بعينة مناسبة من  ل م  ا إإى أن يصدر حكم بات في الدعوى.,"According to AMLADA (81), drugs and psychotropic substances seized by authorities should be destroyed by a committee established by the public prosecutor's office, under the chairmanship of one of its members. The public prosecutor may also authorize the transfer of these substances to any government agency for scientific, medical, or forensic purposes. Alternatively, the court, upon request from the public prosecutor's office, can decide to destroy or transfer the substances while keeping a sample suitable for the case."
,,
What can the prosecutor do if they suspect that one of the individuals involved in a crime has fled the country and is hiding abroad?,amlada (83) للنائب العام أو من يفوضه إذا قامت دالئل  افية على قيام إحدىالجرائم املنصوص علي ا في اذا املرسوم   بقانون بقصد التروي ، أن يأمر مؤقتًا بمنع املت م من السفر أو بتجميد أمواله أو أموال زوجه أو    أوالده القصر  املتحصلة من الجريمة ومنعه من التصرك في ا أو إدار  ا إإى حين االنت اء من التحقيق.,"The prosecutor can order a temporary ban on the individual's travel or freeze their assets, including those of their spouse or children, until the investigation is complete. This is according to Article 83 of the law. The prosecutor can also request that the central bank freeze the assets and prevent any transactions until the investigation is completed."
"A person's right to work has been temporarily suspended by their employer. The reason given was that they were not fulfilling their duties. However, the employee believes this suspension is unjustified and wants to appeal.",املادة (84) ملن صدر ضده قرارًا بالتجميد أو باملنع من التصرك أو اإلدارة أو السفروفقًا للمادة السابقة أن يتظلم منه أمام املحكمة املختصة، فإذا رفض تظلمه فال يجوز التقدم يتظلم جديد إال بعد انقضاء ثالثة أشهر من تاريخ رفض التظلم ما لم يطرأ سبب جدي قبل انقضاء تلك املدة.,"As the person, I would like to appeal against this unjustified suspension. According to Article (84) of the law, my employer has temporarily suspended me from working. As per the law, I have the right to appeal against this decision before a specialized court. If my initial appeal is rejected, I can re-appeal after three months, unless a new reason arises before that time. Therefore, I will file an appeal with the court and present my case."
A police officer is trying to arrest a suspect who is resisting arrest. The officer wants to use force to subdue the suspect. Can they do so? ,املادة (85) ملأموري الضبط القضائ  من رجال الشرطة الحق في استعمال القوة أو السالح من أجل تنفيذ أحكام اذا أملرسوم بقانون بشرط أن يكون ذلك الزمًا ومتناسبًا مع ارو االستعمال.,"As the police officer, I can use force to subdue the suspect if it is necessary and proportionate to achieve the goal of executing the law. This is stated in Article 85 of the law (AMLADA), which gives me the right to use force or other means to execute a decision issued by a competent authority as long as such action is reasonable and consistent with the purpose of using force (Article 85)."
,,
,,
,,
A person named Ahmed is caught using drugs. What should happen next?,"املادة (89) ال تقام الدعوى الجزائية على متعاط  املواد املخدرة أو املؤثرات العقلية أو املواد الل  يسري في شأن ا حكم
الفقرة ال انية من املادة 12  )","As the person caught using drugs, I should be taken into custody by the police or the public prosecutor's office and then referred to a treatment center for rehabilitation. According to Article 89 of the law, my consent is required before being admitted to the treatment center. The Public Prosecutor must also approve my admission to the treatment center or my release from it. If I am admitted to the treatment center, I can only be kept there for a maximum period of one year (Article 12)."
What can happen if someone who was previously subjected to a ruling under Article 90 of the penal code requests treatment or refuses to comply with an arrest warrant issued by the public prosecutor?,املادة (90) ال يسري حكم املادة السابقة على  ل من  ان محرزًا ملخدر أو مؤثر عقلي لم يسلمه إإى الوحدة أو النيابة العامة  أو الشرطة عند تقدمه لطلب العالج أو رفض اإليداع الصادر به أمرًا من النيابة العامة، وعلى النيابة العامة اتخاذ شؤون ا بشأن إقامة الدعوى الجزائية.,"According to Article 90 of the penal code, the previous ruling does not apply to a person who is a drug addict or has mental health issues and has not been handed over to the police or public prosecutor's office when they request treatment or refuse to comply with an arrest warrant issued by the public prosecutor. The public prosecutor's office should take care of matters regarding the establishment of criminal proceedings."
,,
"As the Public Prosecutor, I am considering whether to file a complaint against John for his alleged involvement in drug-related crimes. What are my options and what is the procedure?","AMLADA (92) FOR THE PUBLIC PROSECUTOR TO FILE A COMPLAINT AGAINST A PERSON WHO IS ACCUSED OF COMMITTING DRUG-RELATED CRIMES, OR USING ILLICIT SUBSTANCES, IN ACCORDANCE WITH ARTICLES 41, 42, 43 AND 44 OF THE FEDERAL LAW NO. [29], WHICH REGULATES THE PREVENTION OF NARCOTICS AND PSYCHOACTIVE SUBSTANCES.","As the Public Prosecutor, I have the option to file a complaint against John for his alleged involvement in drug-related crimes. According to Article 92 of the law, I can file a complaint based on the report from the competent authority or my own investigation (AMLADA 92). If John is found guilty, he will be subject to criminal charges and may be eligible for rehabilitation programs. The maximum duration of his treatment and detention cannot exceed one year, as per Article 92. To proceed with the case, I must follow the procedures outlined in Article 90 of the law."
,,
